Brand_douglas_de,Title_douglas_de,Base_Price_CHF_100ml_douglas_ch,Base_Price_CHF_100ml_douglas_de_rounded,Base_Price_CHF_100ml_ottos_ch,Base_Size,Kombination_Ottos,Kombination
Carolina Herrera,Good Girl,176,211,166,30 ml,Carolina HerreraGood GirlEau de Parfum30 ml,Carolina HerreraGood GirlEau de Parfum30 ml
Jean Patou,Joy,246,202,99,30 ml,Jean PatouJoyEau de Toilette30 ml,Jean PatouJoyEau de Toilette30 ml
MUGLER,Alien,215,170,108,60 ml,MUGLERAlienEau de Parfum60 ml,MUGLERAlienEau de Parfum60 ml
Armani,Acqua di Gioia,166,167,133,30 ml,ArmaniAcqua di GioiaEau de Parfum30 ml,ArmaniAcqua di GioiaEau de Parfum30 ml
Yves Saint Laurent,Black Opium,169,218,199,30 ml,Yves Saint LaurentBlack OpiumEau de Parfum30 ml,Yves Saint LaurentBlack OpiumEau de Parfum30 ml
Cacharel,Amor Amor,146,89,116,30 ml,CacharelAmor AmorEau de Toilette30 ml,CacharelAmor AmorEau de Toilette30 ml
Guerlain,Mitsouko,175,171,99,50 ml,GuerlainMitsoukoEau de Toilette50 ml,GuerlainMitsoukoEau de Toilette50 ml
Estée Lauder,White Linen,144,131,83,60 ml,Estée LauderWhite LinenEau de Parfum60 ml,Estée LauderWhite LinenEau de Parfum60 ml
Guerlain,La Petite Robe Noire,206,190,129,50 ml,GuerlainLa Petite Robe NoireEau de Parfum50 ml,GuerlainLa Petite Robe NoireEau de Parfum50 ml
CALVIN KLEIN,Eternity,183,111,79,50 ml,CALVIN KLEINEternityEau de Parfum50 ml,CALVIN KLEINEternityEau de Parfum50 ml
Yves Saint Laurent,Mon Paris,186,166,166,30 ml,Yves Saint LaurentMon ParisEau de Parfum30 ml,Yves Saint LaurentMon ParisEau de Parfum30 ml
Guerlain,La Petite Robe Noire,183,246,133,30 ml,GuerlainLa Petite Robe NoireEau de Parfum30 ml,GuerlainLa Petite Robe NoireEau de Parfum30 ml
Hugo Boss,The Scent For Her,183,124,166,30 ml,Hugo BossThe Scent For HerEau de Parfum30 ml,Hugo BossThe Scent For HerEau de Parfum30 ml
Mexx,Black Woman,53,67,66,30 ml,MexxBlack WomanEau de Toilette30 ml,MexxBlack WomanEau de Toilette30 ml
Versace,Bright Crystal,159,146,133,30 ml,VersaceBright CrystalEau de Toilette30 ml,VersaceBright CrystalEau de Toilette30 ml
